fund_type,code,name,date,total_day,net_value,accumulative_value,rate_day,buy_status,sell_status,profit
gp,"	008190",国泰中证钢铁ETF联接C,2021/5/6,293,1.5636,1.5636,5.05,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/30,293,1.4885,1.4885,-0.87,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/29,293,1.5016,1.5016,-0.77,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/28,293,1.5132,1.5132,0.94,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/27,293,1.4991,1.4991,-0.76,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/26,293,1.5106,1.5106,-1.15,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/23,293,1.5282,1.5282,1.57,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/22,293,1.5046,1.5046,1.81,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/21,293,1.4778,1.4778,-2.19,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/20,293,1.5109,1.5109,0.86,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/19,293,1.498,1.498,-0.56,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/16,293,1.5064,1.5064,0.25,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/15,293,1.5026,1.5026,-0.74,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/14,293,1.5138,1.5138,1.62,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/13,293,1.4896,1.4896,-1.75,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/12,293,1.5162,1.5162,1.27,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/9,293,1.4972,1.4972,0.94,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/8,293,1.4833,1.4833,1.25,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/7,293,1.465,1.465,4.18,开放申购,开放赎回,
gp,"	008190",国泰中证钢铁ETF联接C,2021/4/6,293,1.4062,1.4062,1.21,开放申购,开放赎回,
gp,"	008189",国泰中证钢铁ETF联接A,2021/5/6,293,1.5695,1.5695,5.05,开放申购,开放赎回,
gp,"	008189",国泰中证钢铁ETF联接A,2021/4/30,293,1.494,1.494,-0.88,开放申购,开放赎回,
gp,"	008189",国泰中证钢铁ETF联接A,2021/4/29,293,1.5072,1.5072,-0.76,开放申购,开放赎回,
gp,"	008189",国泰中证钢铁ETF联接A,2021/4/28,293,1.5188,1.5188,0.94,开放申购,开放赎回,
gp,"	008189",国泰中证钢铁ETF联接A,2021/4/27,293,1.5047,1.5047,-0.76,开放申购,开放赎回,
gp,"	008189",国泰中证钢铁ETF联接A,2021/4/26,293,1.5162,1.5162,-1.15,开放申购,开放赎回,
gp,"	008189",国泰中证钢铁ETF联接A,2021/4/23,293,1.5338,1.5338,1.57,开放申购,开放赎回,
gp,"	008189",国泰中证钢铁ETF联接A,2021/4/22,293,1.5101,1.5101,1.81,开放申购,开放赎回,
gp,"	008189",国泰中证钢铁ETF联接A,2021/4/21,293,1.4832,1.4832,-2.19,开放申购,开放赎回,
gp,"	008189",国泰中证钢铁ETF联接A,2021/4/20,293,1.5164,1.5164,0.86,开放申购,开放赎回,
